Plant_Code	Vendor_Code	Vendor_Name	Vendor_Address	Active_Status
1300	131519	SRI GANAPATHY INDUSTRIES	CHENNAI	FALSE
1300	134880	MATEX TECHNOLOGIES PRIVATE LIMITED	CHENNAI	TRUE
1250	134880	MATEX TECHNOLOGIES PRIVATE LIMITED	CHENNAI	TRUE
1150	134880	MATEX TECHNOLOGIES PRIVATE LIMITED	CHENNAI	TRUE
1300	136518	KUMARAN ENGINEERING	CHENNAI	TRUE
1300	137161	ACE DESIGNERS LIMITED	AMBATTUR	TRUE
1150	137161	ACE DESIGNERS LIMITED	AMBATTUR	TRUE
1200	137268	OM LOGISTICS SUPPLY CHAIN PRIVATE	MYSORE	TRUE
1250	101	One time vendors	CHENNAI	TRUE
1200	101	One time vendors	CHENNAI	TRUE
1300	106	ICICI	CHENNAI	TRUE
1200	120	A.ALI HUSEIN &CO, new no. 236, 203	CHENNAI	TRUE
1200	200	Micro Enterprises,	CHENNAI	TRUE
1300	211	NETLINX SYSTEMS & SERVICES	AMBATTUR	TRUE
1200	215	S & S iNDUSTRIAL PRODUCTS,NO 1/ 1 P	AMBATTUR	TRUE
1300	237	Sri ram cold forging pvt ltd	MYSORE	TRUE
1300	240	Sagar Tavels & Lodge	CHENNAI	TRUE
1250	251	HI-CON A.C & REFIGERATION ENGN. WOR	CHENNAI	TRUE
1200	271	CHEMCO ENGINEERS	CHENNAI	TRUE
1200	290	Steel tech	CHENNAI	TRUE
1250	326	HI-CON A.C & REFIGERATION ENGN. WOR	CHENNAI	TRUE
1200	1000	RANE (MADRAS) LIMITED	AMBATTUR	TRUE
1300	1000	RANE (MADRAS) LIMITED	AMBATTUR	TRUE
1250	1000	RANE (MADRAS) LIMITED	MYSORE	TRUE
1170	1000	RANE (MADRAS) LIMITED	CHENNAI	TRUE
1150	1000	RANE (MADRAS) LIMITED	CHENNAI	TRUE
1210	1000	RANE (MADRAS) LIMITED	CHENNAI	TRUE
1150	1100	RANE MADRAS LTD	Chennai	TRUE
1150	1150	RANE (MADRAS) LTD.	VARANAVASI	TRUE
1200	1150	RANE (MADRAS) LTD.	VARANAVASI	TRUE
1210	1150	RANE (MADRAS) LTD.	VARANAVASI	TRUE
1250	1150	RANE (MADRAS) LTD.	VARANAVASI	TRUE
1300	1150	RANE (MADRAS) LTD.	VARANAVASI	TRUE
1300	1200	RML Mysore Plant	Mysore	TRUE
1150	1200	RML Mysore Plant	Mysore	TRUE
1210	1200	RML Mysore Plant	Mysore	TRUE
1200	1200	RML Mysore Plant	Mysore	TRUE
1250	1200	RML Mysore Plant	Mysore	TRUE
1200	1210	RANE (MADRAS)  LIMITED UNIT-II)	Mysore	TRUE
1250	1210	RANE (MADRAS)  LIMITED UNIT-II)	Mysore	TRUE
1150	1210	RANE (MADRAS)  LIMITED UNIT-II)	Mysore	TRUE
1210	1210	RANE (MADRAS)  LIMITED UNIT-II)	Mysore	TRUE
1200	1250	RANE MADRAS LTD UTTRAKAND PLANT	Pant Nagar	TRUE
1300	1250	RANE MADRAS LTD UTTRAKAND PLANT	Pant Nagar	TRUE
1150	1250	RANE MADRAS LTD UTTRAKAND PLANT	Pant Nagar	TRUE
1200	1300	RANE (MADRAS) LIMITED	Pondicherry	TRUE
1300	1300	RANE (MADRAS) LIMITED	Pondicherry	TRUE
1250	1300	RANE (MADRAS) LIMITED	Pondicherry	TRUE
1150	1300	RANE (MADRAS) LIMITED	Pondicherry	TRUE
1300	1310	RANE MADRAS LIMITED	Thiruvandarkoil	TRUE
1300	1450	RANE (MADRAS) LIMITED	Sanand	TRUE
1200	1500	RANE MADRAS LIMITED	GURGAON	TRUE
1300	1500	RANE MADRAS LIMITED	GURGAON	TRUE
1300	1610	RML Pune  PLant	Pune	TRUE
1250	1610	RML Pune  PLant	Pune	TRUE
1200	1610	RML Pune  PLant	Pune	TRUE
1150	1610	RML Pune  PLant	Pune	TRUE
1300	1700	RML C&F CHENNAI	CHENNAI	TRUE
1250	1700	RML C&F CHENNAI	CHENNAI	TRUE
1200	1720	RML C&F Cochin	COCHIN	TRUE
1200	1790	RML C&F Pune	Pune	TRUE
1150	1820	RML C&F Jamshedpur	Jamshedpur	TRUE
1200	1820	RML C&F Jamshedpur	Jamshedpur	TRUE
1300	1820	RML C&F Jamshedpur	Jamshedpur	TRUE
1200	2100	RANE ENGINE VALVE LTD.,	CHENNAI	TRUE
1150	2100	RANE ENGINE VALVE LTD.,	CHENNAI	TRUE
1200	3000	RANE BRAKE LINING LTD	CHENNAI	TRUE
1300	3200	RANE BRAKE LINING LIMITED	THIRUBUVANAI POST, PONDY	TRUE
1300	4000	ZF RANE AUTOMOTIVE INDIA PVT.	Chennai	TRUE
1200	4000	ZF RANE AUTOMOTIVE INDIA PVT.	Chennai	TRUE
1200	4100	ZF RANE AUTOMOTIVE INDIA	VIRALIMALAI	TRUE
1150	4100	ZF RANE AUTOMOTIVE INDIA	VIRALIMALAI	TRUE
1250	4100	ZF RANE AUTOMOTIVE INDIA	VIRALIMALAI	TRUE
1300	4200	ZF RANE AUTOMOTIVE INDIA PVT.LTD	VIRALIMALAI	TRUE
1200	4300	ZF RANE AUTOMOTIVE INDIA	GUDUVANCHERY	TRUE
1150	4400	ZF RANE AUTOMOTIVE INDIA PVT.LTD	GUDUVANCHERY	TRUE
1300	4400	ZF RANE AUTOMOTIVE INDIA PVT.LTD	GUDUVANCHERY	TRUE
1150	4900	ZF RANE AUTOMOTIVE INDIA	KANCHEEPURAM	TRUE
1200	4900	ZF RANE AUTOMOTIVE INDIA	KANCHEEPURAM	TRUE
1210	4900	ZF RANE AUTOMOTIVE INDIA	KANCHEEPURAM	TRUE
1250	4900	ZF RANE AUTOMOTIVE INDIA	KANCHEEPURAM	TRUE
1300	4900	ZF RANE AUTOMOTIVE INDIA	KANCHEEPURAM	TRUE
1300	5000	RANE STEERING SYSTEMS	CHENNAI	TRUE
1300	8000	LIGHT METAL CASTINGS INDIA	HYDERABAD	TRUE
1150	8000	LIGHT METAL CASTINGS INDIA	HYDERABAD	TRUE
1300	8250	RANE(MADRAS)LIMITED	Chengalpattu District,Chennai	TRUE
1150	8250	RANE(MADRAS)LIMITED	Chengalpattu District,Chennai	TRUE
1150	10000	ACCURATE PRODUCTS CORPN PVT LTD.	CHENNAI.	TRUE
1250	10000	ACCURATE PRODUCTS CORPN PVT LTD.	CHENNAI.	TRUE
1300	10000	ACCURATE PRODUCTS CORPN PVT LTD.	CHENNAI.	TRUE
1200	10000	ACCURATE PRODUCTS CORPN PVT LTD.	CHENNAI.	TRUE
1210	10000	ACCURATE PRODUCTS CORPN PVT LTD.	CHENNAI.	TRUE
1150	10001	ASLO AUTO HARDWARES	CHENNAI	TRUE
1210	10001	ASLO AUTO HARDWARES	CHENNAI	TRUE
1200	10001	ASLO AUTO HARDWARES	CHENNAI	TRUE
1250	10001	ASLO AUTO HARDWARES	CHENNAI	TRUE
1250	10002	AUTOMATIC PRODUCTS	PUNE	TRUE
1210	10002	AUTOMATIC PRODUCTS	PUNE	TRUE
1200	10002	AUTOMATIC PRODUCTS	PUNE	TRUE
1150	10002	AUTOMATIC PRODUCTS	PUNE	TRUE
1210	10003	ATOP PRODUCTS PVT LTD.	FARIDABAD	TRUE
1150	10003	ATOP PRODUCTS PVT LTD.	FARIDABAD	TRUE
1200	10003	ATOP PRODUCTS PVT LTD.	FARIDABAD	TRUE
1250	10003	ATOP PRODUCTS PVT LTD.	FARIDABAD	TRUE
1250	10004	ACCURATE BEARING COMPONENTS	BANGALORE	TRUE
1210	10004	ACCURATE BEARING COMPONENTS	BANGALORE	TRUE
1300	10004	ACCURATE BEARING COMPONENTS	BANGALORE	TRUE
1200	10004	ACCURATE BEARING COMPONENTS	BANGALORE	TRUE
1150	10004	ACCURATE BEARING COMPONENTS	BANGALORE	TRUE
1200	10005	ARVIND ENGINEERS	FARIDABAD	TRUE
1300	10005	ARVIND ENGINEERS	FARIDABAD	TRUE
1150	10005	ARVIND ENGINEERS	FARIDABAD	TRUE
1250	10005	ARVIND ENGINEERS	FARIDABAD	TRUE
1300	10006	ABRAMI PRECISION WORKS	KANCHEEPURAM DIST	TRUE
1200	10006	ABRAMI PRECISION WORKS	KANCHEEPURAM DIST	TRUE
1150	10006	ABRAMI PRECISION WORKS	KANCHEEPURAM DIST	TRUE
1200	10007	ARUL CNC	CHENNAI	TRUE
1200	10008	AUTO COMPS.	CHENNAI	TRUE
1250	10008	AUTO COMPS.	CHENNAI	TRUE
1150	10008	AUTO COMPS.	CHENNAI	TRUE
1200	10010	ACE FORGE PVT LTD	BANGALORE	TRUE
1300	10010	ACE FORGE PVT LTD	BANGALORE	TRUE
1210	10010	ACE FORGE PVT LTD	BANGALORE	TRUE
1250	10010	ACE FORGE PVT LTD	BANGALORE	TRUE
1150	10010	ACE FORGE PVT LTD	BANGALORE	TRUE
1300	10011	ALIFA ENGINEERING	CHENNAI	TRUE
1200	10011	ALIFA ENGINEERING	CHENNAI	TRUE
1200	10012	ABRAMI JOBBERS	CHENNAI	TRUE
1150	10012	ABRAMI JOBBERS	CHENNAI	TRUE
1200	10014	INNOVENTIVE INDUSTRIES LIMITED	BANGALORE	TRUE
1200	10015	ANSSONS RUBBER PVT LTD.	BANGALORE	TRUE
1200	10016	ASHOK INDUSTRY	VILE PARLE - WEST,MUMBAI.	TRUE
1300	10020	ARUNODAYA GEARS & INDUSTRIES	CHENNAI	TRUE
1150	10020	ARUNODAYA GEARS & INDUSTRIES	CHENNAI	TRUE
1300	10021	ASSOCIATED AGENTS & MERCHANTS	CHENNAI.	TRUE
1150	10021	ASSOCIATED AGENTS & MERCHANTS	CHENNAI.	TRUE
1200	10022	ADDISON & CO LIMITED	CHENNAI	TRUE
1150	10022	ADDISON & CO LIMITED	CHENNAI	TRUE
1300	10022	ADDISON & CO LIMITED	CHENNAI	TRUE
1200	10023	ALVEL SALES	CHENNAI	TRUE
1300	10023	ALVEL SALES	CHENNAI	TRUE
1150	10023	ALVEL SALES	CHENNAI	TRUE
1200	10024	AVERY INDIA LTD.	CHENNAI	TRUE
1150	10027	ABRAMI ENGINEERS	KANCHIPURAM DIST MARAIMALAI NAGAR	TRUE
1300	10027	ABRAMI ENGINEERS	KANCHIPURAM DIST MARAIMALAI NAGAR	TRUE
1200	10027	ABRAMI ENGINEERS	KANCHIPURAM DIST MARAIMALAI NAGAR	TRUE
1300	10029	AMSON & COMPANY	CHENNAI	TRUE
1200	10032	APEX PRECISION MECHATRONIX PVT LTD	MUMBAI	TRUE
1200	10038	ACCURATE ENGINEERING CO. PVT.LTD	pune	TRUE
1300	10038	ACCURATE ENGINEERING CO. PVT.LTD	pune	TRUE
1210	10038	ACCURATE ENGINEERING CO. PVT.LTD	pune	TRUE
1150	10042	ALPHA STANDARDS	CHENNAI	TRUE
1250	10043	ANAND MOTOR PRODUCTS PVT  LTD	HARYANA	TRUE
1300	10043	ANAND MOTOR PRODUCTS PVT  LTD	HARYANA	TRUE
1200	10043	ANAND MOTOR PRODUCTS PVT  LTD	HARYANA	TRUE
1300	10044	AMMBAVIN	CHENNAI	TRUE
1150	10046	THE AUTOSTAHL TRADES	CHENNAI	TRUE
1300	10049	ADVANCED ELECTRONICS	CHENNAI	TRUE
1200	10049	ADVANCED ELECTRONICS	CHENNAI	TRUE
1300	10052	ADITYA ENGINEERING CO.	PUNE	TRUE
1250	10052	ADITYA ENGINEERING CO.	PUNE	TRUE
1200	10052	ADITYA ENGINEERING CO.	PUNE	TRUE
1150	10052	ADITYA ENGINEERING CO.	PUNE	TRUE
1300	10054	APNA ENGINEERS	CHENNAI	TRUE
1150	10055	ARCH PRECISION ENGINEERING	CHENNAI	TRUE
1250	10055	ARCH PRECISION ENGINEERING	CHENNAI	TRUE
1200	10055	ARCH PRECISION ENGINEERING	CHENNAI	TRUE
1300	10055	ARCH PRECISION ENGINEERING	CHENNAI	TRUE
1200	10058	ASHOK & LAL	CHENNAI	TRUE
1150	10059	ADVANCE COOLING SYSTEMS PVT LTD	MUMBAI	TRUE
1200	10059	ADVANCE COOLING SYSTEMS PVT LTD	MUMBAI	TRUE
1210	10059	ADVANCE COOLING SYSTEMS PVT LTD	MUMBAI	TRUE
1200	10060	ALOKE ALLOYS	MUMBAI	TRUE
1250	10060	ALOKE ALLOYS	MUMBAI	TRUE
1200	10061	SRI ABIRAMI CASTINGS  PVT.  LTD.	CHENNAI	TRUE
1300	10061	SRI ABIRAMI CASTINGS  PVT.  LTD.	CHENNAI	TRUE
1150	10064	AQUA PMP ENGINEERING CO	CHENNAI	TRUE
1200	10067	ASIAN PPG INDUSTRIES LIMITED	CHENNAI	TRUE
1300	10068	ALLIED ENGINEERING WORKS	CHENNAI.	TRUE
1150	10073	GENAU EXTRUSIONS  PVT LTD	KRISHNAGIRI	TRUE
1200	10073	GENAU EXTRUSIONS  PVT LTD	KRISHNAGIRI	TRUE
1200	10076	JAYA ENGINEERS	CHENNAI	TRUE
1250	10077	KAVIA ENGINEERING PVT LTD	BANGALORE	TRUE
1150	10077	KAVIA ENGINEERING PVT LTD	BANGALORE	TRUE
1300	10077	KAVIA ENGINEERING PVT LTD	BANGALORE	TRUE
1200	10077	KAVIA ENGINEERING PVT LTD	BANGALORE	TRUE
1210	10077	KAVIA ENGINEERING PVT LTD	BANGALORE	TRUE
1200	10078	MAGNA ELECTRO CASTINGS LTD	COIMBATORE	TRUE
1200	10080	AUTOMATION SYSTEMS & EMBEDDED	BANGALORE	TRUE
1150	10084	ANK SEALS PVT LTD.,	CHENNAI	TRUE
1200	10085	MYSORE METAL FABRICATORS	MYSORE	TRUE
1200	10089	ALFA ENTERPRISES	CHENNAI	TRUE
1150	10089	ALFA ENTERPRISES	CHENNAI	TRUE
1150	10097	ACE DESIGNERS LIMITED	BANGALORE	TRUE
1200	10097	ACE DESIGNERS LIMITED	BANGALORE	TRUE
1250	10097	ACE DESIGNERS LIMITED	BANGALORE	TRUE
1300	10097	ACE DESIGNERS LIMITED	BANGALORE	TRUE
1150	10100	AUTOMATIC DEVICES	CHENNAI	TRUE
1150	10101	ACE HYDRAULICS SYSTEMS	CHENNAI	TRUE
1150	10102	AIRFRIGE ENGINEERS PVT LTD	CHENNAI	TRUE
1150	10106	ACE MANUFACTURING SYSTEMS LTD	Bangalore	TRUE
1300	10106	ACE MANUFACTURING SYSTEMS LTD	Bangalore	TRUE
1200	10106	ACE MANUFACTURING SYSTEMS LTD	Bangalore	TRUE
1250	10109	BHARATH INDUSTRIES	CHENNAI	TRUE
1150	10109	BHARATH INDUSTRIES	CHENNAI	TRUE
1200	10109	BHARATH INDUSTRIES	CHENNAI	TRUE
1250	10111	BLUE STAMPINGS & FORGINGS LTD	FARIDABAD	TRUE
1210	10111	BLUE STAMPINGS & FORGINGS LTD	FARIDABAD	TRUE
1150	10111	BLUE STAMPINGS & FORGINGS LTD	FARIDABAD	TRUE
1200	10111	BLUE STAMPINGS & FORGINGS LTD	FARIDABAD	TRUE
1300	10111	BLUE STAMPINGS & FORGINGS LTD	FARIDABAD	TRUE
1200	10112	BMF BELTINGS LTD.	CHENNAI	TRUE
1210	10113	BRAKES INDIA PVT. LIMITED	Mysore	TRUE
1200	10113	BRAKES INDIA PVT. LIMITED	Mysore	TRUE
1150	10113	BRAKES INDIA PVT. LIMITED	Mysore	TRUE
1250	10113	BRAKES INDIA PVT. LIMITED	Mysore	TRUE
1300	10113	BRAKES INDIA PVT. LIMITED	Mysore	TRUE
1200	10114	SMITHS & FOUNDERS (INDIA) LIMITED	BANGALORE	TRUE
1210	10114	SMITHS & FOUNDERS (INDIA) LIMITED	BANGALORE	TRUE
1250	10114	SMITHS & FOUNDERS (INDIA) LIMITED	BANGALORE	TRUE
1150	10114	SMITHS & FOUNDERS (INDIA) LIMITED	BANGALORE	TRUE
1300	10114	SMITHS & FOUNDERS (INDIA) LIMITED	BANGALORE	TRUE
1150	10115	BILL FORGE PRIVATE LIMITED	KIADB INDUST AREA , ANEKAL TK,BGL	TRUE
1200	10116	BHARAT TECHNOLOGIES AUTO COMP LTD	KANCHIPURAM	TRUE
1300	10117	BHARAT PETROLEUM CORPORATION LTD	CHENNAI	TRUE
1150	10117	BHARAT PETROLEUM CORPORATION LTD	CHENNAI	TRUE
1200	10117	BHARAT PETROLEUM CORPORATION LTD	CHENNAI	TRUE
1150	10120	BEST SUPPLY AGENCY	CHENNAI	TRUE
1200	10120	BEST SUPPLY AGENCY	CHENNAI	TRUE
1150	10121	BAKER GAUGES INDIA PVT LTD	PUNE	TRUE
1300	10121	BAKER GAUGES INDIA PVT LTD	PUNE	TRUE
1150	10122	FORBES GOKAK LIMITED	CHENNAI	TRUE
1300	10123	BOMBAY TOOLS SUPPLYING AGENCY	CHENNAI	TRUE
1200	10123	BOMBAY TOOLS SUPPLYING AGENCY	CHENNAI	TRUE
1150	10123	BOMBAY TOOLS SUPPLYING AGENCY	CHENNAI	TRUE
1200	10124	BEST DRILL CENTRE	CHENNAI	TRUE
1250	10127	BAKER GAUGES INDIA PVT LIMITED (BMI	PUNE	TRUE
1150	10127	BAKER GAUGES INDIA PVT LIMITED (BMI	PUNE	TRUE
1200	10127	BAKER GAUGES INDIA PVT LIMITED (BMI	PUNE	TRUE
1300	10127	BAKER GAUGES INDIA PVT LIMITED (BMI	PUNE	TRUE
1210	10128	BEMCO HYDRAULICS LIMITED	BLGAM	TRUE
1200	10128	BEMCO HYDRAULICS LIMITED	BLGAM	TRUE
1150	10128	BEMCO HYDRAULICS LIMITED	BLGAM	TRUE
1300	10128	BEMCO HYDRAULICS LIMITED	BLGAM	TRUE
1200	10129	BHAGAVATHI INDUSTRIES	CHENNAI	TRUE
1300	10131	BARANI TOOLINGS	CHENNAI	TRUE
1150	10131	BARANI TOOLINGS	CHENNAI	TRUE
